hour,Total_PnL,Avg_PnL,Trades,Volume,Win_Rate
0,425052.507901,89.12822560306144,4769,37858659.8,84.77668274271336
1,523198.62637,87.93254224705882,5950,41166272.19,89.21008403361344
2,279834.366301,74.24631634412312,3769,29487174.37,82.78057840275935
3,460020.571385,108.08754026903196,4256,35204644.22,82.89473684210526
4,487367.592886,111.80720185501262,4359,23763598.32,79.10071117228722
5,385913.303193,97.84820060674443,3944,40131010.23,82.80933062880325
6,298730.758694,68.37508782192722,4369,15890725.69,74.70817120622569
7,712784.325348,171.34238590096155,4160,20105950.84,82.16346153846153
8,462140.622931,106.26365208806622,4349,22814727.7,75.97148769832145
9,294525.282383,81.45057588025443,3616,14134417.870000001,92.72676991150442
10,413788.812966,127.28047153675791,3251,8207965.19,72.9621654875423
11,472707.466164,133.00716549352842,3554,8902117.62,85.45301069217783
12,911657.260379,243.82381930435946,3739,10444391.97,81.14469109387537
13,434825.879679,118.70758385995086,3663,10085443.17,87.87878787878788
14,158171.107001,52.900035786287624,2990,8259650.86,85.15050167224081
15,427562.29235,114.75101780730006,3726,8562431.26,85.85614600107354
16,246188.873549,79.95741264988634,3079,19493857.919999998,84.37804481974666
17,217196.36996,66.44122666258795,3269,14683299.44,78.15845824411134
18,433781.633348,89.05391774748512,4871,26286566.17,92.79408745637447
19,705423.686372,102.66681507378838,6871,41861626.29,77.42686654053267
20,632875.064876,106.56256354201045,5939,29103829.15,82.05085031150026
21,343553.581166,60.773674361577925,5653,29764888.98,85.0168052361578
22,381715.759771,74.04767405838992,5155,45089834.49,85.31522793404461
23,187943.19846299998,36.801096233209314,5107,51157159.77,84.98139808106521
